,rotation,PoseNet,MAE,MSE,NLPD,PSNR,UIQI,LPIPS_vgg,SSIM,MSSIM
38,-12.0,0.0833268091082573,0.0009988411329686642,2.178468457714189e-05,0.031085364520549774,33.444461822509766,,0.00439118267968297,0.9783810377120972,0.985274612903595
39,-11.0,0.07780461013317108,0.0009166329400613904,1.8417395040160045e-05,0.029528437182307243,34.15470886230469,,0.0038548267912119627,0.9804787039756775,0.9873380661010742
40,-10.0,0.0722947046160698,0.0008343614754267037,1.531881389382761e-05,0.027920620515942574,34.931190490722656,,0.0033459372352808714,0.9826195240020752,0.9892836213111877
41,-9.0,0.06679968535900116,0.0007520727813243866,1.2492868336266838e-05,0.02624434232711792,35.78666687011719,,0.002874458208680153,0.9847978353500366,0.9911032915115356
42,-8.0,0.061328113079071045,0.0006697541102766991,9.943865734385327e-06,0.024485617876052856,36.740623474121094,,0.002436677925288677,0.9870010018348694,0.9927868843078613
43,-7.0,0.05588514357805252,0.0005874218186363578,7.676300810999237e-06,0.0226376224309206,37.817325592041016,,0.0020391333382576704,0.989206850528717,0.9943246245384216
44,-6.0,0.050476301461458206,0.0005051444168202579,5.695772415492684e-06,0.020714320242404938,39.052188873291016,,0.0016802068566903472,0.9913792014122009,0.9957026243209839
45,-5.0,0.045124657452106476,0.00042300738277845085,4.007231382274767e-06,0.01872716099023819,40.501495361328125,,0.0013695340603590012,0.9934693574905396,0.9969095587730408
46,-4.0,0.03986033797264099,0.0003410405188333243,2.613631295389496e-06,0.01662805676460266,42.26286315917969,,0.0011060956167057157,0.9954115152359009,0.9979342818260193
47,-3.0,0.03473743796348572,0.00025901675689965487,1.5140064988372615e-06,0.014210122637450695,44.53663635253906,,0.0008965905872173607,0.9971298575401306,0.9987685680389404
48,-2.0,0.029902217909693718,0.00017609616043046117,7.029313451312191e-07,0.01089889369904995,47.797813415527344,,0.0007746075862087309,0.9985381960868835,0.999406635761261
49,-1.0,0.025743456557393074,9.036708070198074e-05,1.854973135095861e-07,0.006196767091751099,53.50874328613281,,0.0004297236446291208,0.9995567202568054,0.9998345971107483
50,0.0,0.023424090817570686,0.0,0.0,0.0,inf,,0.0,1.0,1.0
51,1.0,0.024880196899175644,9.036294068209827e-05,1.854947981883015e-07,0.006196525413542986,53.50856399536133,,0.00043248385190963745,0.9995566606521606,0.9998345971107483
52,2.0,0.028677329421043396,0.0001760866289259866,7.029285029602761e-07,0.010898948647081852,47.79762649536133,,0.0007785602356307209,0.9985380172729492,0.999406635761261
53,3.0,0.0333523191511631,0.0002590116928331554,1.51400706727145e-06,0.014210209250450134,44.53630065917969,,0.0009021016303449869,0.9971298575401306,0.9987685680389404
54,4.0,0.03842141851782799,0.0003410441568121314,2.6136501674045576e-06,0.016627958044409752,42.26266860961914,,0.001112487050704658,0.9954116344451904,0.9979344010353088
55,5.0,0.04364069551229477,0.0004230042395647615,4.007274128525751e-06,0.018727663904428482,40.501338958740234,,0.0013778185239061713,0.9934689402580261,0.9969095587730408
56,6.0,0.048949044197797775,0.0005051334737800062,5.695728304999648e-06,0.02071395516395569,39.0521125793457,,0.0016932287253439426,0.9913793206214905,0.9957027435302734
57,7.0,0.05431860312819481,0.0005874126218259335,7.676303539483342e-06,0.022638199850916862,37.81734085083008,,0.002052455907687545,0.9892066121101379,0.994324803352356
58,8.0,0.05973171442747116,0.0006697447970509529,9.943892109731678e-06,0.02448735386133194,36.74052047729492,,0.0024505949113518,0.9870010018348694,0.9927874207496643
59,9.0,0.06517564505338669,0.0007520572980865836,1.2492907444539014e-05,0.0262468084692955,35.78622055053711,,0.0028892664704471827,0.9847979545593262,0.9911038875579834
60,10.0,0.07063909620046616,0.0008343486697413027,1.531883390271105e-05,0.027924280613660812,34.930667877197266,,0.003360908478498459,0.9826196432113647,0.989284098148346
61,11.0,0.0761101171374321,0.0009166238596662879,1.841743869590573e-05,0.029533086344599724,34.15422439575195,,0.0038700110744684935,0.9804788827896118,0.9873383045196533
62,12.0,0.08158964663743973,0.0009988353122025728,2.1784784621559083e-05,0.03109191544353962,33.44391632080078,,0.004407374653965235,0.9783808588981628,0.985274612903595
63,13.0,0.08707564324140549,0.0010809734230861068,2.5414949050173163e-05,0.032587919384241104,32.790409088134766,,0.0049760788679122925,0.9763310551643372,0.9831039905548096
64,14.0,0.09256546944379807,0.0011629958171397448,2.930156551883556e-05,0.03400783985853195,32.1864128112793,,0.005567590240389109,0.9743300676345825,0.9808377027511597
65,15.0,0.09805309772491455,0.0012448773486539721,3.34389042109251e-05,0.03535067290067673,31.625293731689453,,0.006183515768498182,0.9723789095878601,0.9784789085388184
